event1_sent_id	event1_index	event1_word	event1_id
A033n_PN1b_00003-3	7	当て	e1
A033n_PN1b_00003-3	14	美容	e2
A033n_PN1b_00003-3	21	調査	e3
A033n_PN1b_00003-4	10	かけ	e4
A033n_PN1b_00003-4	23	調べる	e5
A033n_PN1b_00003-7	15	会い	e6
A033n_PN1b_00003-7	17	来	e7
A033n_PN1b_00003-7	33	交え	e8
A033n_PN1b_00003-7	39	取る	e9
A033n_PN1b_00003-8	9	し	e10
A033n_PN1b_00003-8	13	し	e11
A033n_PN1b_00003-8	19	し	e12
A033n_PN1b_00003-8	21	逃げ出し	e13
A033n_PN1b_00003-8	30	告げる	e14
A033n_PN1b_00003-10	5	美しい	e15
A033n_PN1b_00003-13	3	見	e16
A033n_PN1b_00003-14	1	乾燥	e17
A033n_PN1b_00003-15	5	あげ	e18
A033n_PN1b_00003-15	9	生え	e19
A033n_PN1b_00003-15	11	し	e20
A033n_PN1b_00003-16	6	うつる	e21
A033n_PN1b_00003-17	4	過激	e22
A033n_PN1b_00003-18	5	過ぎ	e23
A033n_PN1b_00003-18	12	来	e24
A033n_PN1b_00003-18	20	美しく	e25
A033n_PN1b_00003-18	21	なり	e26
A033n_PN1b_00003-18	27	ない	e27
A033n_PN1b_00003-18	40	切れ	e28
A033n_PN1b_00003-18	46	続い	e29
A033n_PN1b_00003-18	53	生き	e30
A033n_PN1b_00003-18	59	捨てる	e31
A033n_PN1b_00003-18	65	行け	e32
A033n_PN1b_00003-19	2	傾い	e33
A033n_PN1b_00003-19	7	送り込ま	e34
A033n_PN1b_00003-19	33	一致	e35
A033n_PN1b_00003-20	6	紹介	e36
A033n_PN1b_00003-20	12	若い	e37
A033n_PN1b_00003-20	25	追求	e38
A033n_PN1b_00003-20	35	目覚め	e39
A033n_PN1b_00003-20	39	ある	e40
A033n_PN1b_00003-20	43	求め	e41
A033n_PN1b_00003-20	49	意外	e42
A033n_PN1b_00003-20	51	まじめ	e43
A033n_PN1b_00003-21	3	利い	e44
A033n_PN1b_00003-21	11	担当	e45
A033n_PN1b_00003-27	9	開く	e46
A033n_PN1b_00003-27	28	かかわる	e47
A033n_PN1b_00003-27	37	描く	e48
A033n_PN1b_00003-29	8	ぶつかり	e49
A033n_PN1b_00003-29	12	いたわり合う	e50
A033n_PN1b_00003-30	5	古く	e51
A033n_PN1b_00003-31	13	勧める	e52
A033n_PN1b_00003-31	18	応じ	e53
A033n_PN1b_00003-33	5	診察	e54
A033n_PN1b_00003-33	12	描か	e55
A033n_PN1b_00003-33	21	与える	e56
A033n_PN1b_00003-34	14	見つかっ	e57
A033n_PN1b_00003-35	3	現れ	e58
A033n_PN1b_00003-35	21	なれる	e59
A033n_PN1b_00003-37	1	盛り	e60
A033n_PN1b_00003-37	11	こもっ	e61
A033n_PN1b_00003-37	18	ある	e62
A033n_PN1b_00003-44	7	残す	e63
A033n_PN1b_00003-44	20	若い	e64
A033n_PN1b_00003-44	28	結ば	e65
A033n_PN1b_00003-44	32	描く	e66
A033n_PN1b_00003-50	8	務め	e67
A033n_PN1b_00003-50	26	届ける	e68
A033n_PN1b_00003-51	24	おくる	e69
